Kanji,Reading,API Call,Meanings
あの,あの,https://jisho.org/api/v1/search/words?keyword=あの,['that over there']
あの,あの,https://jisho.org/api/v1/search/words?keyword=あの,['um...']
アパート,アパート,https://jisho.org/api/v1/search/words?keyword=アパート,['apartment']
あびる,あびる,https://jisho.org/api/v1/search/words?keyword=あびる,"['to bathe', 'to shower']"
危ない,あぶない,https://jisho.org/api/v1/search/words?keyword=危ない,['dangerous']
甘い,あまい,https://jisho.org/api/v1/search/words?keyword=甘い,['sweet']
あまり,あまり,https://jisho.org/api/v1/search/words?keyword=あまり,['not very']
雨,あめ,https://jisho.org/api/v1/search/words?keyword=雨,['rain']
飴,あめ,https://jisho.org/api/v1/search/words?keyword=飴,['candy']
洗う,あらう,https://jisho.org/api/v1/search/words?keyword=洗う,['to wash']
ある,ある,https://jisho.org/api/v1/search/words?keyword=ある,"['to be', 'to have']"
歩く,あるく,https://jisho.org/api/v1/search/words?keyword=歩く,['to walk']
あれ,あれ,https://jisho.org/api/v1/search/words?keyword=あれ,['that']
いい,いい,https://jisho.org/api/v1/search/words?keyword=いい,['good']
いいえ,いいえ,https://jisho.org/api/v1/search/words?keyword=いいえ,['no']
言う,いう,https://jisho.org/api/v1/search/words?keyword=言う,['to say']
家,いえ,https://jisho.org/api/v1/search/words?keyword=家,['house']
いかが,いかが,https://jisho.org/api/v1/search/words?keyword=いかが,['how']
行く,いく,https://jisho.org/api/v1/search/words?keyword=行く,['to go']
いくつ,いくつ,https://jisho.org/api/v1/search/words?keyword=いくつ,"['how many?', 'how old?']"
いくら,いくら,https://jisho.org/api/v1/search/words?keyword=いくら,['how much?']
池,いけ,https://jisho.org/api/v1/search/words?keyword=池,['pond']
医者,いしゃ,https://jisho.org/api/v1/search/words?keyword=医者,['medical doctor']
いす,いす,https://jisho.org/api/v1/search/words?keyword=いす,['chair']
忙しい,いそがしい,https://jisho.org/api/v1/search/words?keyword=忙しい,"['busy', 'irritated']"
痛い,いたい,https://jisho.org/api/v1/search/words?keyword=痛い,['painful']
一,いち,https://jisho.org/api/v1/search/words?keyword=一,['one']
一日,いちにち,https://jisho.org/api/v1/search/words?keyword=一日,['first of the month']
いちばん,いちばん,https://jisho.org/api/v1/search/words?keyword=いちばん,"['best', 'first']"
いつ,いつ,https://jisho.org/api/v1/search/words?keyword=いつ,['when']
五日,いつか,https://jisho.org/api/v1/search/words?keyword=五日,"['five days', 'fifth day']"
一緒,いっしょ,https://jisho.org/api/v1/search/words?keyword=一緒,['together']
五つ,いつつ,https://jisho.org/api/v1/search/words?keyword=五つ,['five']
いつも,いつも,https://jisho.org/api/v1/search/words?keyword=いつも,['always']
犬,いぬ,https://jisho.org/api/v1/search/words?keyword=犬,['dog']
今,いま,https://jisho.org/api/v1/search/words?keyword=今,['now']
意味,いみ,https://jisho.org/api/v1/search/words?keyword=意味,['meaning']
妹,いもうと,https://jisho.org/api/v1/search/words?keyword=妹,['younger sister']
嫌,いや,https://jisho.org/api/v1/search/words?keyword=嫌,['unpleasant']
入口,いりぐち,https://jisho.org/api/v1/search/words?keyword=入口,['entrance']
居る,いる,https://jisho.org/api/v1/search/words?keyword=居る,"['to be', 'to have']"
要る,いる,https://jisho.org/api/v1/search/words?keyword=要る,['to need']
入れる,いれる,https://jisho.org/api/v1/search/words?keyword=入れる,['to put in']
色,いろ,https://jisho.org/api/v1/search/words?keyword=色,['colour']
いろいろ,いろいろ,https://jisho.org/api/v1/search/words?keyword=いろいろ,['various']
上,うえ,https://jisho.org/api/v1/search/words?keyword=上,['on top of']
後ろ,うしろ,https://jisho.org/api/v1/search/words?keyword=後ろ,['behind']
薄い,うすい,https://jisho.org/api/v1/search/words?keyword=薄い,"['thin', 'weak']"
歌,うた,https://jisho.org/api/v1/search/words?keyword=歌,['song']
歌う,うたう,https://jisho.org/api/v1/search/words?keyword=歌う,['to sing']
生まれる,うまれる,https://jisho.org/api/v1/search/words?keyword=生まれる,['to be born']
海,うみ,https://jisho.org/api/v1/search/words?keyword=海,['sea']
売る,うる,https://jisho.org/api/v1/search/words?keyword=売る,['to sell']
煩い,うるさい,https://jisho.org/api/v1/search/words?keyword=煩い,"['noisy', 'annoying']"
上着,うわぎ,https://jisho.org/api/v1/search/words?keyword=上着,['jacket']
絵,え,https://jisho.org/api/v1/search/words?keyword=絵,['picture']
映画,えいが,https://jisho.org/api/v1/search/words?keyword=映画,['movie']
映画館,えいがかん,https://jisho.org/api/v1/search/words?keyword=映画館,['cinema']
英語,えいご,https://jisho.org/api/v1/search/words?keyword=英語,['English language']
ええ,ええ,https://jisho.org/api/v1/search/words?keyword=ええ,['yes']
駅,えき,https://jisho.org/api/v1/search/words?keyword=駅,['station']
エレベーター,エレベーター,https://jisho.org/api/v1/search/words?keyword=エレベーター,['elevator']
鉛筆,えんぴつ,https://jisho.org/api/v1/search/words?keyword=鉛筆,['pencil']
おいしい,おいしい,https://jisho.org/api/v1/search/words?keyword=おいしい,['delicious']
多い,おおい,https://jisho.org/api/v1/search/words?keyword=多い,['many']
大きい,おおきい,https://jisho.org/api/v1/search/words?keyword=大きい,['big']
大きな,おおきな,https://jisho.org/api/v1/search/words?keyword=大きな,['big']
大勢,おおぜい,https://jisho.org/api/v1/search/words?keyword=大勢,['great number of people']
お母さん,おかあさん,https://jisho.org/api/v1/search/words?keyword=お母さん,['mother']
お菓子,おかし,https://jisho.org/api/v1/search/words?keyword=お菓子,"['sweets', 'candy']"
お金,おかね,https://jisho.org/api/v1/search/words?keyword=お金,['money']
起きる,おきる,https://jisho.org/api/v1/search/words?keyword=起きる,['to get up']
置く,おく,https://jisho.org/api/v1/search/words?keyword=置く,['to put']
奥さん,おくさん,https://jisho.org/api/v1/search/words?keyword=奥さん,['wife']
お酒,おさけ,https://jisho.org/api/v1/search/words?keyword=お酒,"['alcohol', 'rice wine']"
お皿,おさら,https://jisho.org/api/v1/search/words?keyword=お皿,"['plate', 'dish']"
祖父さん,おじいさん,https://jisho.org/api/v1/search/words?keyword=祖父さん,"['grandfather', 'male senior citizen']"
教える,おしえる,https://jisho.org/api/v1/search/words?keyword=教える,"['to teach', 'to tell']"
伯父　おじ,伯父　おじ,https://jisho.org/api/v1/search/words?keyword=伯父　おじ,"['uncle', 'middle aged gentleman']"
叔父,おじ,https://jisho.org/api/v1/search/words?keyword=叔父,"['uncle', 'middle aged gentleman']"
押す,おす,https://jisho.org/api/v1/search/words?keyword=押す,"['to push', 'to stamp something']"
遅い,おそい,https://jisho.org/api/v1/search/words?keyword=遅い,"['late', 'slow']"
お茶,おちゃ,https://jisho.org/api/v1/search/words?keyword=お茶,['green tea']
お手洗い,おてあらい,https://jisho.org/api/v1/search/words?keyword=お手洗い,['bathroom']
お父さん,おとうさん,https://jisho.org/api/v1/search/words?keyword=お父さん,['father']
弟,おとうと,https://jisho.org/api/v1/search/words?keyword=弟,['younger brother']
男,おとこ,https://jisho.org/api/v1/search/words?keyword=男,['Man']
男の子,おとこのこ,https://jisho.org/api/v1/search/words?keyword=男の子,['Boy']
一昨日,おととい,https://jisho.org/api/v1/search/words?keyword=一昨日,['day before yesterday']
一昨年,おととし,https://jisho.org/api/v1/search/words?keyword=一昨年,['year before last']
大人,おとな,https://jisho.org/api/v1/search/words?keyword=大人,['Adult']
おなか,おなか,https://jisho.org/api/v1/search/words?keyword=おなか,['stomach']
同じ,おなじ,https://jisho.org/api/v1/search/words?keyword=同じ,['same']
お兄さん,おにいさん,https://jisho.org/api/v1/search/words?keyword=お兄さん,['older brother']
お姉さん,おねえさん,https://jisho.org/api/v1/search/words?keyword=お姉さん,['older sister']
おばあさん,おばあさん,https://jisho.org/api/v1/search/words?keyword=おばあさん,"['grandmother', 'female senior-citizen']"
伯母さん,おばさん,https://jisho.org/api/v1/search/words?keyword=伯母さん,['Aunt']
叔母さん,おばさん,https://jisho.org/api/v1/search/words?keyword=叔母さん,['Aunt']
お風呂,おふろ,https://jisho.org/api/v1/search/words?keyword=お風呂,['Bath']
お弁当,おべんとう,https://jisho.org/api/v1/search/words?keyword=お弁当,['boxed lunch']
覚える,おぼえる,https://jisho.org/api/v1/search/words?keyword=覚える,['to remember']
おまわりさん,おまわりさん,https://jisho.org/api/v1/search/words?keyword=おまわりさん,['friendly term for policeman']
重い,おもい,https://jisho.org/api/v1/search/words?keyword=重い,['Heavy']
おもしろい,おもしろい,https://jisho.org/api/v1/search/words?keyword=おもしろい,['Interesting']
泳ぐ,およぐ,https://jisho.org/api/v1/search/words?keyword=泳ぐ,['to swim']
降りる,おりる,https://jisho.org/api/v1/search/words?keyword=降りる,"['to get off', 'to descend']"
終る,おわる,https://jisho.org/api/v1/search/words?keyword=終る,['to finish']
音楽,おんがく,https://jisho.org/api/v1/search/words?keyword=音楽,['Music']
女,おんな,https://jisho.org/api/v1/search/words?keyword=女,['Woman']
女の子,おんなのこ,https://jisho.org/api/v1/search/words?keyword=女の子,['Girl']
外国,がいこく,https://jisho.org/api/v1/search/words?keyword=外国,['foreign country']
外国人,がいこくじん,https://jisho.org/api/v1/search/words?keyword=外国人,['Foreigner']
会社,かいしゃ,https://jisho.org/api/v1/search/words?keyword=会社,['Company']
階段,かいだん,https://jisho.org/api/v1/search/words?keyword=階段,['Stairs']
買い物,かいもの,https://jisho.org/api/v1/search/words?keyword=買い物,['Shopping']
買う,かう,https://jisho.org/api/v1/search/words?keyword=買う,['to buy']
返す,かえす,https://jisho.org/api/v1/search/words?keyword=返す,['to return something']
帰る,かえる,https://jisho.org/api/v1/search/words?keyword=帰る,['to go back']
かかる,かかる,https://jisho.org/api/v1/search/words?keyword=かかる,['to take time or money']
かぎ,かぎ,https://jisho.org/api/v1/search/words?keyword=かぎ,['Key']
書く,かく,https://jisho.org/api/v1/search/words?keyword=書く,['to write']
学生,がくせい,https://jisho.org/api/v1/search/words?keyword=学生,['Student']
かける,かける,https://jisho.org/api/v1/search/words?keyword=かける,['to call by phone']
傘,かさ,https://jisho.org/api/v1/search/words?keyword=傘,['Umbrella']
貸す,かす,https://jisho.org/api/v1/search/words?keyword=貸す,['to lend']
風,かぜ,https://jisho.org/api/v1/search/words?keyword=風,['Wind']
風邪,かぜ,https://jisho.org/api/v1/search/words?keyword=風邪,['a cold']
家族,かぞく,https://jisho.org/api/v1/search/words?keyword=家族,['Family']
方,かた,https://jisho.org/api/v1/search/words?keyword=方,"['person', 'way of doing']"
学校,がっこう,https://jisho.org/api/v1/search/words?keyword=学校,['School']
カップ,カップ,https://jisho.org/api/v1/search/words?keyword=カップ,['Cup']
家庭,かてい,https://jisho.org/api/v1/search/words?keyword=家庭,['Household']
角,かど,https://jisho.org/api/v1/search/words?keyword=角,['a corner']
かばん,かばん,https://jisho.org/api/v1/search/words?keyword=かばん,"['bag', 'basket']"
花瓶,かびん,https://jisho.org/api/v1/search/words?keyword=花瓶,['a vase']
紙,かみ,https://jisho.org/api/v1/search/words?keyword=紙,['paper']
カメラ,カメラ,https://jisho.org/api/v1/search/words?keyword=カメラ,['camera']
火曜日,かようび,https://jisho.org/api/v1/search/words?keyword=火曜日,['Tuesday']
辛い,からい,https://jisho.org/api/v1/search/words?keyword=辛い,['Spicy']
体,からだ,https://jisho.org/api/v1/search/words?keyword=体,['Body']
借りる,かりる,https://jisho.org/api/v1/search/words?keyword=借りる,['to borrow']
軽い,かるい,https://jisho.org/api/v1/search/words?keyword=軽い,['Light']
カレー,カレー,https://jisho.org/api/v1/search/words?keyword=カレー,['Curry']
カレンダー,カレンダー,https://jisho.org/api/v1/search/words?keyword=カレンダー,['calendar']
川,かわ,https://jisho.org/api/v1/search/words?keyword=川,['River']
かわいい,かわいい,https://jisho.org/api/v1/search/words?keyword=かわいい,['Cute']
漢字,かんじ,https://jisho.org/api/v1/search/words?keyword=漢字,['Chinese character']
木,き,https://jisho.org/api/v1/search/words?keyword=木,"['tree', 'wood']"
黄色,きいろ,https://jisho.org/api/v1/search/words?keyword=黄色,['yellow']
黄色い,きいろい,https://jisho.org/api/v1/search/words?keyword=黄色い,['yellow']
消える,きえる,https://jisho.org/api/v1/search/words?keyword=消える,['to disappear']
聞く,きく,https://jisho.org/api/v1/search/words?keyword=聞く,"['to hear', 'to listen to', 'to ask']"
北,きた,https://jisho.org/api/v1/search/words?keyword=北,['North']
ギター,ギター,https://jisho.org/api/v1/search/words?keyword=ギター,['Guitar']
汚い,きたない,https://jisho.org/api/v1/search/words?keyword=汚い,['Dirty']
喫茶店,きっさてん,https://jisho.org/api/v1/search/words?keyword=喫茶店,['coffee lounge']
切手,きって,https://jisho.org/api/v1/search/words?keyword=切手,['postage stamp']
切符,きっぷ,https://jisho.org/api/v1/search/words?keyword=切符,['Ticket']
昨日,きのう,https://jisho.org/api/v1/search/words?keyword=昨日,['Yesterday']
九,きゅう,https://jisho.org/api/v1/search/words?keyword=九,['Nine']
牛肉,ぎゅうにく,https://jisho.org/api/v1/search/words?keyword=牛肉,['Beef']
牛乳,ぎゅうにゅう,https://jisho.org/api/v1/search/words?keyword=牛乳,['Milk']
今日,きょう,https://jisho.org/api/v1/search/words?keyword=今日,['Today']
教室,きょうしつ,https://jisho.org/api/v1/search/words?keyword=教室,['Classroom']
兄弟,きょうだい,https://jisho.org/api/v1/search/words?keyword=兄弟,['siblings']
去年,きょねん,https://jisho.org/api/v1/search/words?keyword=去年,['last year']
嫌い,きらい,https://jisho.org/api/v1/search/words?keyword=嫌い,['Hate']
切る,きる,https://jisho.org/api/v1/search/words?keyword=切る,['to cut']
着る,きる,https://jisho.org/api/v1/search/words?keyword=着る,['to put on from the shoulders down']
きれい,きれい,https://jisho.org/api/v1/search/words?keyword=きれい,"['pretty', 'clean']"
キログラム,キログラム,https://jisho.org/api/v1/search/words?keyword=キログラム,['Kilogram']
キロメートル,キロメートル,https://jisho.org/api/v1/search/words?keyword=キロメートル,['Kilometer']
銀行,ぎんこう,https://jisho.org/api/v1/search/words?keyword=銀行,['Bank']
金曜日,きんようび,https://jisho.org/api/v1/search/words?keyword=金曜日,['Friday']
薬,くすり,https://jisho.org/api/v1/search/words?keyword=薬,['medicine']
ください,ください,https://jisho.org/api/v1/search/words?keyword=ください,['Please']
果物,くだもの,https://jisho.org/api/v1/search/words?keyword=果物,['Fruit']
口,くち,https://jisho.org/api/v1/search/words?keyword=口,"['mouth', 'opening']"
靴,くつ,https://jisho.org/api/v1/search/words?keyword=靴,['Shoes']
靴下,くつした,https://jisho.org/api/v1/search/words?keyword=靴下,['Socks']
国,くに,https://jisho.org/api/v1/search/words?keyword=国,['Country']
曇り,くもり,https://jisho.org/api/v1/search/words?keyword=曇り,['cloudy weather']
曇る,くもる,https://jisho.org/api/v1/search/words?keyword=曇る,"['to become cloudy', 'to become dim']"
暗い,くらい,https://jisho.org/api/v1/search/words?keyword=暗い,['Gloomy']
クラス,クラス,https://jisho.org/api/v1/search/words?keyword=クラス,['Class']
グラム,グラム,https://jisho.org/api/v1/search/words?keyword=グラム,['Gram']
来る,くる,https://jisho.org/api/v1/search/words?keyword=来る,['to come']
車,くるま,https://jisho.org/api/v1/search/words?keyword=車,"['car', 'vehicle']"
黒,くろ,https://jisho.org/api/v1/search/words?keyword=黒,['Black']
黒い,くろい,https://jisho.org/api/v1/search/words?keyword=黒い,['black']
警官,けいかん,https://jisho.org/api/v1/search/words?keyword=警官,['policeman']
今朝,けさ,https://jisho.org/api/v1/search/words?keyword=今朝,['this morning']
消す,けす,https://jisho.org/api/v1/search/words?keyword=消す,"['to erase', 'to turn off power']"
結構,けっこう,https://jisho.org/api/v1/search/words?keyword=結構,"['splendid', 'enough']"
結婚,けっこん,https://jisho.org/api/v1/search/words?keyword=結婚,['Marriage']
月曜日,げつようび,https://jisho.org/api/v1/search/words?keyword=月曜日,['Monday']
玄関,げんかん,https://jisho.org/api/v1/search/words?keyword=玄関,['entry hall']
元気,げんき,https://jisho.org/api/v1/search/words?keyword=元気,"['health', 'vitality']"
五,ご,https://jisho.org/api/v1/search/words?keyword=五,['Five']
公園,こうえん,https://jisho.org/api/v1/search/words?keyword=公園,['Park']
交差点,こうさてん,https://jisho.org/api/v1/search/words?keyword=交差点,['intersection']
紅茶,こうちゃ,https://jisho.org/api/v1/search/words?keyword=紅茶,['black tea']
交番,こうばん,https://jisho.org/api/v1/search/words?keyword=交番,['police box']
声,こえ,https://jisho.org/api/v1/search/words?keyword=声,['Voice']
コート,コート,https://jisho.org/api/v1/search/words?keyword=コート,"['coat', 'tennis court']"
コーヒー,コーヒー,https://jisho.org/api/v1/search/words?keyword=コーヒー,['Coffee']
ここ,ここ,https://jisho.org/api/v1/search/words?keyword=ここ,['Here']
午後,ごご,https://jisho.org/api/v1/search/words?keyword=午後,['afternoon']
九日,ここのか,https://jisho.org/api/v1/search/words?keyword=九日,"['nine days', 'ninth day']"
九つ,ここのつ,https://jisho.org/api/v1/search/words?keyword=九つ,['Nine']
午前,ごぜん,https://jisho.org/api/v1/search/words?keyword=午前,['morning']
答える,こたえる,https://jisho.org/api/v1/search/words?keyword=答える,['to answer']
こちら,こちら,https://jisho.org/api/v1/search/words?keyword=こちら,['this person or way']
こっち,こっち,https://jisho.org/api/v1/search/words?keyword=こっち,['this person or way']
コップ,コップ,https://jisho.org/api/v1/search/words?keyword=コップ,['a glass']
今年,ことし,https://jisho.org/api/v1/search/words?keyword=今年,['this year']
言葉,ことば,https://jisho.org/api/v1/search/words?keyword=言葉,"['word', 'language']"
子供,こども,https://jisho.org/api/v1/search/words?keyword=子供,['Child']
この,この,https://jisho.org/api/v1/search/words?keyword=この,['This']
御飯,ごはん,https://jisho.org/api/v1/search/words?keyword=御飯,"['cooked rice', 'meal']"
コピーする,コピーする,https://jisho.org/api/v1/search/words?keyword=コピーする,['to copy']
困る,こまる,https://jisho.org/api/v1/search/words?keyword=困る,['to be worried']
これ,これ,https://jisho.org/api/v1/search/words?keyword=これ,['This']
今月,こんげつ,https://jisho.org/api/v1/search/words?keyword=今月,['this month']
今週,こんしゅう,https://jisho.org/api/v1/search/words?keyword=今週,['this week']
こんな,こんな,https://jisho.org/api/v1/search/words?keyword=こんな,['Such']
今晩,こんばん,https://jisho.org/api/v1/search/words?keyword=今晩,['this evening']
さあ,さあ,https://jisho.org/api/v1/search/words?keyword=さあ,['well…']
財布,さいふ,https://jisho.org/api/v1/search/words?keyword=財布,['Wallet']
魚,さかな,https://jisho.org/api/v1/search/words?keyword=魚,['Fish']
先,さき,https://jisho.org/api/v1/search/words?keyword=先,"['the future', 'previous']"
咲く,さく,https://jisho.org/api/v1/search/words?keyword=咲く,['to bloom']
作文,さくぶん,https://jisho.org/api/v1/search/words?keyword=作文,"['composition', 'writing']"
差す,さす,https://jisho.org/api/v1/search/words?keyword=差す,"['to stretch out hands', 'to raise an umbrella']"
雑誌,ざっし,https://jisho.org/api/v1/search/words?keyword=雑誌,['Magazine']
砂糖,さとう,https://jisho.org/api/v1/search/words?keyword=砂糖,['Sugar']
寒い,さむい,https://jisho.org/api/v1/search/words?keyword=寒い,['Cold']
さ来年,さらいねん,https://jisho.org/api/v1/search/words?keyword=さ来年,['year after next']
三,さん,https://jisho.org/api/v1/search/words?keyword=三,['Three']
散歩,さんぽする,https://jisho.org/api/v1/search/words?keyword=散歩,['to stroll']
四,よん,https://jisho.org/api/v1/search/words?keyword=四,['Four']
塩,しお,https://jisho.org/api/v1/search/words?keyword=塩,['Salt']
しかし,しかし,https://jisho.org/api/v1/search/words?keyword=しかし,['However']
時間,じかん,https://jisho.org/api/v1/search/words?keyword=時間,['Time']
仕事,しごと,https://jisho.org/api/v1/search/words?keyword=仕事,['Job']
辞書,じしょ,https://jisho.org/api/v1/search/words?keyword=辞書,['Dictionary']
静か,しずか,https://jisho.org/api/v1/search/words?keyword=静か,['Quiet']
下,した,https://jisho.org/api/v1/search/words?keyword=下,['Below']
七,なな,https://jisho.org/api/v1/search/words?keyword=七,['Seven']
質問,しつもん,https://jisho.org/api/v1/search/words?keyword=質問,['Question']
自転車,じてんしゃ,https://jisho.org/api/v1/search/words?keyword=自転車,['Bicycle']
自動車,じどうしゃ,https://jisho.org/api/v1/search/words?keyword=自動車,['Automobile']
死ぬ,しぬ,https://jisho.org/api/v1/search/words?keyword=死ぬ,['to die']
字引,じびき,https://jisho.org/api/v1/search/words?keyword=字引,['Dictionary']
自分,じぶん,https://jisho.org/api/v1/search/words?keyword=自分,['Oneself']
閉まる,しまる,https://jisho.org/api/v1/search/words?keyword=閉まる,"['to close', 'to be closed']"
閉める,しめる,https://jisho.org/api/v1/search/words?keyword=閉める,['to close something']
締める,しめる,https://jisho.org/api/v1/search/words?keyword=締める,['to tie']
じゃあ,じゃあ,https://jisho.org/api/v1/search/words?keyword=じゃあ,['well then…']
写真,しゃしん,https://jisho.org/api/v1/search/words?keyword=写真,['photograph']
シャツ,シャツ,https://jisho.org/api/v1/search/words?keyword=シャツ,['Shirt']
シャワー,シャワー,https://jisho.org/api/v1/search/words?keyword=シャワー,['Shower']
十,じゅう,https://jisho.org/api/v1/search/words?keyword=十,['とお Ten']
授業,じゅぎょう,https://jisho.org/api/v1/search/words?keyword=授業,"['lesson', 'class work']"
宿題,しゅくだい,https://jisho.org/api/v1/search/words?keyword=宿題,['homework']
上手,じょうず,https://jisho.org/api/v1/search/words?keyword=上手,['Skillful']
丈夫,じょうぶ,https://jisho.org/api/v1/search/words?keyword=丈夫,"['strong', 'durable']"
しょうゆ,しょうゆ,https://jisho.org/api/v1/search/words?keyword=しょうゆ,['soy sauce']
食堂,しょくどう,https://jisho.org/api/v1/search/words?keyword=食堂,['dining hall']
知る,しる,https://jisho.org/api/v1/search/words?keyword=知る,['to know']
白,しろ,https://jisho.org/api/v1/search/words?keyword=白,['White']
白い,しろい,https://jisho.org/api/v1/search/words?keyword=白い,['White']
新聞,しんぶん,https://jisho.org/api/v1/search/words?keyword=新聞,['newspaper']
水曜日,すいようび,https://jisho.org/api/v1/search/words?keyword=水曜日,['Wednesday']
吸う,すう,https://jisho.org/api/v1/search/words?keyword=吸う,"['to smoke', 'to suck']"
スカート,スカート,https://jisho.org/api/v1/search/words?keyword=スカート,['Skirt']
好き,すき,https://jisho.org/api/v1/search/words?keyword=好き,['Likeable']
少ない,すくない,https://jisho.org/api/v1/search/words?keyword=少ない,['a few']
すぐに,すぐに,https://jisho.org/api/v1/search/words?keyword=すぐに,['Instantly']
少し,すこし,https://jisho.org/api/v1/search/words?keyword=少し,['Few']
涼しい,すずしい,https://jisho.org/api/v1/search/words?keyword=涼しい,['Refreshing']
ストーブ,ストーブ,https://jisho.org/api/v1/search/words?keyword=ストーブ,['Heater']
スプーン,スプーン,https://jisho.org/api/v1/search/words?keyword=スプーン,['Spoon']
スポーツ,スポーツ,https://jisho.org/api/v1/search/words?keyword=スポーツ,['Sport']
ズボン,ズボン,https://jisho.org/api/v1/search/words?keyword=ズボン,['Trousers']
住む,すむ,https://jisho.org/api/v1/search/words?keyword=住む,['to live in']
スリッパ,スリッパ,https://jisho.org/api/v1/search/words?keyword=スリッパ,['Slippers']
する,する,https://jisho.org/api/v1/search/words?keyword=する,['to do']
座る,すわる,https://jisho.org/api/v1/search/words?keyword=座る,['to sit']
背,せ,https://jisho.org/api/v1/search/words?keyword=背,"['height', 'stature']"
生徒,せいと,https://jisho.org/api/v1/search/words?keyword=生徒,['Pupil']
セーター,セーター,https://jisho.org/api/v1/search/words?keyword=セーター,"['sweater', 'jumper']"
せっけん,せっけん,https://jisho.org/api/v1/search/words?keyword=せっけん,['Economy']
背広,せびろ,https://jisho.org/api/v1/search/words?keyword=背広,['business suit']
狭い,せまい,https://jisho.org/api/v1/search/words?keyword=狭い,['Narrow']
ゼロ,ゼロ,https://jisho.org/api/v1/search/words?keyword=ゼロ,['Zero']
千,せん,https://jisho.org/api/v1/search/words?keyword=千,['Thousand']
先月,せんげつ,https://jisho.org/api/v1/search/words?keyword=先月,['last month']
先週,せんしゅう,https://jisho.org/api/v1/search/words?keyword=先週,['last week']
先生,せんせい,https://jisho.org/api/v1/search/words?keyword=先生,"['teacher', 'doctor']"
洗濯,せんたく,https://jisho.org/api/v1/search/words?keyword=洗濯,['Washing']
全部,ぜんぶ,https://jisho.org/api/v1/search/words?keyword=全部,['All']
掃除,そうじする,https://jisho.org/api/v1/search/words?keyword=掃除,"['to clean', 'to sweep']"
そして,そして,https://jisho.org/api/v1/search/words?keyword=そして,['And']
そこ,そこ,https://jisho.org/api/v1/search/words?keyword=そこ,['that place']
そちら,そちら,https://jisho.org/api/v1/search/words?keyword=そちら,['over there']
そっち,そっち,https://jisho.org/api/v1/search/words?keyword=そっち,['over there']
外,そと,https://jisho.org/api/v1/search/words?keyword=外,['Outside']
その,その,https://jisho.org/api/v1/search/words?keyword=その,['That']
そば,そば,https://jisho.org/api/v1/search/words?keyword=そば,"['near', 'beside']"
空,そら,https://jisho.org/api/v1/search/words?keyword=空,['Sky']
それ,それ,https://jisho.org/api/v1/search/words?keyword=それ,['that']
それから,それから,https://jisho.org/api/v1/search/words?keyword=それから,['after that']
それでは,それでは,https://jisho.org/api/v1/search/words?keyword=それでは,['in that situation']
大学,だいがく,https://jisho.org/api/v1/search/words?keyword=大学,['university']
大使館,たいしかん,https://jisho.org/api/v1/search/words?keyword=大使館,['embassy']
大丈夫,だいじょうぶ,https://jisho.org/api/v1/search/words?keyword=大丈夫,['all right']
大好き,だいすき,https://jisho.org/api/v1/search/words?keyword=大好き,['to be very likeable']
大切,たいせつ,https://jisho.org/api/v1/search/words?keyword=大切,['important']
