Kanji,Reading,API Call,Meanings
うれしい,うれしい,https://jisho.org/api/v1/search/words?keyword=うれしい,['glad']
うん,うん,https://jisho.org/api/v1/search/words?keyword=うん,['yes']
運転,うんてん,https://jisho.org/api/v1/search/words?keyword=運転,['to drive']
運転手,うんてんしゅ,https://jisho.org/api/v1/search/words?keyword=運転手,['driver']
運動,うんどう,https://jisho.org/api/v1/search/words?keyword=運動,['to exercise']
エスカレーター,エスカレーター,https://jisho.org/api/v1/search/words?keyword=エスカレーター,['escalator']
枝,えだ,https://jisho.org/api/v1/search/words?keyword=枝,"['branch', 'twig']"
選ぶ,えらぶ,https://jisho.org/api/v1/search/words?keyword=選ぶ,['to choose']
遠慮,えんりょ,https://jisho.org/api/v1/search/words?keyword=遠慮,"['to be reserved', 'to be restrained']"
おいでになる,おいでになる,https://jisho.org/api/v1/search/words?keyword=おいでになる,['to be']
お祝い,おいわい,https://jisho.org/api/v1/search/words?keyword=お祝い,['congratulation']
オートバイ,オートバイ,https://jisho.org/api/v1/search/words?keyword=オートバイ,['motorcycle']
おかげ,おかげ,https://jisho.org/api/v1/search/words?keyword=おかげ,['owing to']
おかしい,おかしい,https://jisho.org/api/v1/search/words?keyword=おかしい,['strange or funny']
億,おく,https://jisho.org/api/v1/search/words?keyword=億,['one hundred million']
屋上,おくじょう,https://jisho.org/api/v1/search/words?keyword=屋上,['rooftop']
贈り物,おくりもの,https://jisho.org/api/v1/search/words?keyword=贈り物,['gift']
送る,おくる,https://jisho.org/api/v1/search/words?keyword=送る,['to send']
遅れる,おくれる,https://jisho.org/api/v1/search/words?keyword=遅れる,['to be late']
起す,おこす,https://jisho.org/api/v1/search/words?keyword=起す,['to wake']
行う,おこなう,https://jisho.org/api/v1/search/words?keyword=行う,['to do']
怒る,おこる,https://jisho.org/api/v1/search/words?keyword=怒る,"['to get angry', 'to be angry']"
押し入れ,おしいれ,https://jisho.org/api/v1/search/words?keyword=押し入れ,['closet']
お嬢さん,おじょうさん,https://jisho.org/api/v1/search/words?keyword=お嬢さん,['young lady']
お宅,おたく,https://jisho.org/api/v1/search/words?keyword=お宅,['your house']
落る,おちる,https://jisho.org/api/v1/search/words?keyword=落る,['to fall or drop']
おっしゃる,おっしゃる,https://jisho.org/api/v1/search/words?keyword=おっしゃる,['to say']
夫,おっと,https://jisho.org/api/v1/search/words?keyword=夫,['husband']
おつり,おつり,https://jisho.org/api/v1/search/words?keyword=おつり,"['change from purchase', 'balance']"
音,おと,https://jisho.org/api/v1/search/words?keyword=音,"['sound', 'note']"
落す,おとす,https://jisho.org/api/v1/search/words?keyword=落す,['to drop']
踊り,おどり,https://jisho.org/api/v1/search/words?keyword=踊り,['a dance']
踊る,おどる,https://jisho.org/api/v1/search/words?keyword=踊る,['to dance']
驚く,おどろく,https://jisho.org/api/v1/search/words?keyword=驚く,['to be surprised']
お祭り,おまつり,https://jisho.org/api/v1/search/words?keyword=お祭り,['festival']
お見舞い,おみまい,https://jisho.org/api/v1/search/words?keyword=お見舞い,"['calling on someone who is ill', 'enquiry']"
お土産,おみやげ,https://jisho.org/api/v1/search/words?keyword=お土産,['souvenir']
思い出す,おもいだす,https://jisho.org/api/v1/search/words?keyword=思い出す,['to remember']
思う,おもう,https://jisho.org/api/v1/search/words?keyword=思う,"['to think', 'to feel']"
おもちゃ,おもちゃ,https://jisho.org/api/v1/search/words?keyword=おもちゃ,['toy']
表,おもて,https://jisho.org/api/v1/search/words?keyword=表,['the front']
親,おや,https://jisho.org/api/v1/search/words?keyword=親,['parents']
下りる,おりる,https://jisho.org/api/v1/search/words?keyword=下りる,['to get off']
折る,おる,https://jisho.org/api/v1/search/words?keyword=折る,['to break or to fold']
お礼,おれい,https://jisho.org/api/v1/search/words?keyword=お礼,['expression of gratitude']
折れる,おれる,https://jisho.org/api/v1/search/words?keyword=折れる,['to break or be folded']
終わり,おわり,https://jisho.org/api/v1/search/words?keyword=終わり,['the end']
カーテン,カーテン,https://jisho.org/api/v1/search/words?keyword=カーテン,['curtain']
海岸,かいがん,https://jisho.org/api/v1/search/words?keyword=海岸,['coast']
会議,かいぎ,https://jisho.org/api/v1/search/words?keyword=会議,['meeting']
会議室,かいぎしつ,https://jisho.org/api/v1/search/words?keyword=会議室,['meeting room']
会場,かいじょう,https://jisho.org/api/v1/search/words?keyword=会場,['assembly hall or meeting place']
会話,かいわ,https://jisho.org/api/v1/search/words?keyword=会話,['conversation']
帰り,かえり,https://jisho.org/api/v1/search/words?keyword=帰り,['return']
変える,かえる,https://jisho.org/api/v1/search/words?keyword=変える,['to change']
科学,かがく,https://jisho.org/api/v1/search/words?keyword=科学,['science']
鏡,かがみ,https://jisho.org/api/v1/search/words?keyword=鏡,['mirror']
掛ける,かける,https://jisho.org/api/v1/search/words?keyword=掛ける,['to hang something']
飾る,かざる,https://jisho.org/api/v1/search/words?keyword=飾る,['to decorate']
火事,かじ,https://jisho.org/api/v1/search/words?keyword=火事,['fire']
ガス,ガス,https://jisho.org/api/v1/search/words?keyword=ガス,['petrol']
ガソリン,ガソリン,https://jisho.org/api/v1/search/words?keyword=ガソリン,['petrol']
ガソリンスタンド,ガソリンスタンド,https://jisho.org/api/v1/search/words?keyword=ガソリンスタンド,['petrol station']
固い,かたい,https://jisho.org/api/v1/search/words?keyword=固い,['hard']
形,かたち,https://jisho.org/api/v1/search/words?keyword=形,['shape']
片付ける,かたづける,https://jisho.org/api/v1/search/words?keyword=片付ける,['to tidy up']
課長,かちょう,https://jisho.org/api/v1/search/words?keyword=課長,['section manager']
勝つ,かつ,https://jisho.org/api/v1/search/words?keyword=勝つ,['to win']
かっこう,かっこう,https://jisho.org/api/v1/search/words?keyword=かっこう,['appearance']
家内,かない,https://jisho.org/api/v1/search/words?keyword=家内,['housewife']
悲しい,かなしい,https://jisho.org/api/v1/search/words?keyword=悲しい,['sad']
必ず,かならず,https://jisho.org/api/v1/search/words?keyword=必ず,"['certainly', 'necessarily']"
お金持ち,おかねもち,https://jisho.org/api/v1/search/words?keyword=お金持ち,['rich man']
彼女,かのじょ,https://jisho.org/api/v1/search/words?keyword=彼女,"['she', 'girlfriend']"
壁,かべ,https://jisho.org/api/v1/search/words?keyword=壁,['wall']
かまう,かまう,https://jisho.org/api/v1/search/words?keyword=かまう,['to mind']
髪,かみ,https://jisho.org/api/v1/search/words?keyword=髪,['hair']
噛む,かむ,https://jisho.org/api/v1/search/words?keyword=噛む,"['to bite', 'to chew']"
通う,かよう,https://jisho.org/api/v1/search/words?keyword=通う,['to commute']
ガラス,ガラス,https://jisho.org/api/v1/search/words?keyword=ガラス,['a glass pane']
彼,かれ,https://jisho.org/api/v1/search/words?keyword=彼,"['he', 'boyfriend']"
彼ら,かれら,https://jisho.org/api/v1/search/words?keyword=彼ら,['they']
乾く,かわく,https://jisho.org/api/v1/search/words?keyword=乾く,['to get dry']
代わり,かわり,https://jisho.org/api/v1/search/words?keyword=代わり,"['substitute', 'alternate']"
変わる,かわる,https://jisho.org/api/v1/search/words?keyword=変わる,['to change']
考える,かんがえる,https://jisho.org/api/v1/search/words?keyword=考える,['to consider']
関係,かんけい,https://jisho.org/api/v1/search/words?keyword=関係,['relationship']
看護婦,かんごふ,https://jisho.org/api/v1/search/words?keyword=看護婦,['female nurse']
簡単,かんたん,https://jisho.org/api/v1/search/words?keyword=簡単,['simple']
気,き,https://jisho.org/api/v1/search/words?keyword=気,"['spirit', 'mood']"
機会,きかい,https://jisho.org/api/v1/search/words?keyword=機会,['opportunity']
危険,きけん,https://jisho.org/api/v1/search/words?keyword=危険,['danger']
聞こえる,きこえる,https://jisho.org/api/v1/search/words?keyword=聞こえる,['to be heard']
汽車,きしゃ,https://jisho.org/api/v1/search/words?keyword=汽車,['steam train']
技術,ぎじゅつ,https://jisho.org/api/v1/search/words?keyword=技術,"['art', 'technology', 'skill']"
季節,きせつ,https://jisho.org/api/v1/search/words?keyword=季節,['season']
規則,きそく,https://jisho.org/api/v1/search/words?keyword=規則,['regulations']
きっと,きっと,https://jisho.org/api/v1/search/words?keyword=きっと,['surely']
絹,きぬ,https://jisho.org/api/v1/search/words?keyword=絹,['silk']
厳しい,きびしい,https://jisho.org/api/v1/search/words?keyword=厳しい,['strict']
気分,きぶん,https://jisho.org/api/v1/search/words?keyword=気分,['mood']
決る,きまる,https://jisho.org/api/v1/search/words?keyword=決る,['to be decided']
君,きみ,https://jisho.org/api/v1/search/words?keyword=君,['You']
決める,きめる,https://jisho.org/api/v1/search/words?keyword=決める,['to decide']
気持ち,きもち,https://jisho.org/api/v1/search/words?keyword=気持ち,"['feeling', 'mood']"
着物,きもの,https://jisho.org/api/v1/search/words?keyword=着物,['kimono']
客,きゃく,https://jisho.org/api/v1/search/words?keyword=客,"['guest', 'customer']"
急,きゅう,https://jisho.org/api/v1/search/words?keyword=急,"['urgent', 'steep']"
急行,きゅうこう,https://jisho.org/api/v1/search/words?keyword=急行,"['speedy', 'express']"
教育,きょういく,https://jisho.org/api/v1/search/words?keyword=教育,['education']
教会,きょうかい,https://jisho.org/api/v1/search/words?keyword=教会,['church']
競争,きょうそう,https://jisho.org/api/v1/search/words?keyword=競争,['competition']
興味,きょうみ,https://jisho.org/api/v1/search/words?keyword=興味,['an interest']
近所,きんじょ,https://jisho.org/api/v1/search/words?keyword=近所,['neighbourhood']
具合,ぐあい,https://jisho.org/api/v1/search/words?keyword=具合,"['condition', 'health']"
空気,くうき,https://jisho.org/api/v1/search/words?keyword=空気,"['air', 'atmosphere']"
空港,くうこう,https://jisho.org/api/v1/search/words?keyword=空港,['airport']
草,くさ,https://jisho.org/api/v1/search/words?keyword=草,['grass']
くださる,くださる,https://jisho.org/api/v1/search/words?keyword=くださる,['to give']
首,くび,https://jisho.org/api/v1/search/words?keyword=首,['neck']
雲,くも,https://jisho.org/api/v1/search/words?keyword=雲,['cloud']
比べる,くらべる,https://jisho.org/api/v1/search/words?keyword=比べる,['to compare']
くれる,くれる,https://jisho.org/api/v1/search/words?keyword=くれる,['to give']
暮れる,くれる,https://jisho.org/api/v1/search/words?keyword=暮れる,"['to get dark', 'to come to an end']"
君,くん,https://jisho.org/api/v1/search/words?keyword=君,['suffix for familiar young male']
毛,け,https://jisho.org/api/v1/search/words?keyword=毛,['hair or fur']
計画,けいかく,https://jisho.org/api/v1/search/words?keyword=計画,['to plan']
経験,けいけん,https://jisho.org/api/v1/search/words?keyword=経験,['to experience']
経済,けいざい,https://jisho.org/api/v1/search/words?keyword=経済,"['finance', 'economy']"
警察,けいさつ,https://jisho.org/api/v1/search/words?keyword=警察,['police']
ケーキ,ケーキ,https://jisho.org/api/v1/search/words?keyword=ケーキ,['cake']
けが,けが,https://jisho.org/api/v1/search/words?keyword=けが,['to injure']
景色,けしき,https://jisho.org/api/v1/search/words?keyword=景色,"['scene', 'landscape']"
消しゴム,けしゴム,https://jisho.org/api/v1/search/words?keyword=消しゴム,['eraser']
下宿,げしゅく,https://jisho.org/api/v1/search/words?keyword=下宿,['lodging']
決して,けっして,https://jisho.org/api/v1/search/words?keyword=決して,['never']
けれど,けれど,https://jisho.org/api/v1/search/words?keyword=けれど,['however']
原因,げんいん,https://jisho.org/api/v1/search/words?keyword=原因,"['cause', 'source']"
けんか,けんか,https://jisho.org/api/v1/search/words?keyword=けんか,['to quarrel']
研究,けんきゅう,https://jisho.org/api/v1/search/words?keyword=研究,['research']
研究室,けんきゅうしつ,https://jisho.org/api/v1/search/words?keyword=研究室,"['study room', 'laboratory']"
見物,けんぶつ,https://jisho.org/api/v1/search/words?keyword=見物,['sightseeing']
子,こ,https://jisho.org/api/v1/search/words?keyword=子,['child']
こう,こう,https://jisho.org/api/v1/search/words?keyword=こう,['this way']
郊外,こうがい,https://jisho.org/api/v1/search/words?keyword=郊外,['outskirts']
講義,こうぎ,https://jisho.org/api/v1/search/words?keyword=講義,['lecture']
工業,こうぎょう,https://jisho.org/api/v1/search/words?keyword=工業,['the manufacturing industry']
高校,こうこう,https://jisho.org/api/v1/search/words?keyword=高校,['high school']
高校生,こうこうせい,https://jisho.org/api/v1/search/words?keyword=高校生,['high school student']
工場,こうじょう,https://jisho.org/api/v1/search/words?keyword=工場,['factory']
校長,こうちょう,https://jisho.org/api/v1/search/words?keyword=校長,['headmaster']
交通,こうつう,https://jisho.org/api/v1/search/words?keyword=交通,"['traffic', 'transportation']"
講堂,こうどう,https://jisho.org/api/v1/search/words?keyword=講堂,['auditorium']
高等学校,こうとうがっこう,https://jisho.org/api/v1/search/words?keyword=高等学校,['high school']
公務員,こうむいん,https://jisho.org/api/v1/search/words?keyword=公務員,['government worker']
国際,こくさい,https://jisho.org/api/v1/search/words?keyword=国際,['international']
心,こころ,https://jisho.org/api/v1/search/words?keyword=心,"['core', 'heart']"
御主人,ごしゅじん,https://jisho.org/api/v1/search/words?keyword=御主人,['your husband']
故障,こしょう,https://jisho.org/api/v1/search/words?keyword=故障,['to break-down']
ご存じ,ごぞんじ,https://jisho.org/api/v1/search/words?keyword=ご存じ,"['knowing', 'acquaintance']"
答,こたえ,https://jisho.org/api/v1/search/words?keyword=答,['response']
ごちそう,ごちそう,https://jisho.org/api/v1/search/words?keyword=ごちそう,['a feast']
こと,こと,https://jisho.org/api/v1/search/words?keyword=こと,"['thing', 'matter']"
小鳥,ことり,https://jisho.org/api/v1/search/words?keyword=小鳥,['small bird']
このあいだ,このあいだ,https://jisho.org/api/v1/search/words?keyword=このあいだ,"['the other day', 'recently']"
このごろ,このごろ,https://jisho.org/api/v1/search/words?keyword=このごろ,"['these days', 'nowadays']"
細かい,こまかい,https://jisho.org/api/v1/search/words?keyword=細かい,"['small', 'fine']"
ごみ,ごみ,https://jisho.org/api/v1/search/words?keyword=ごみ,['rubbish']
込む,こむ,https://jisho.org/api/v1/search/words?keyword=込む,['to be crowded']
米,こめ,https://jisho.org/api/v1/search/words?keyword=米,['uncooked rice']
ごらんになる,ごらんになる,https://jisho.org/api/v1/search/words?keyword=ごらんになる,['to see']
これから,これから,https://jisho.org/api/v1/search/words?keyword=これから,['after this']
怖い,こわい,https://jisho.org/api/v1/search/words?keyword=怖い,['frightening']
壊す,こわす,https://jisho.org/api/v1/search/words?keyword=壊す,['to break']
壊れる,こわれる,https://jisho.org/api/v1/search/words?keyword=壊れる,['to be broken']
コンサート,コンサート,https://jisho.org/api/v1/search/words?keyword=コンサート,['concert']
今度,こんど,https://jisho.org/api/v1/search/words?keyword=今度,"['now', 'next time']"
コンピューター,コンピューター,https://jisho.org/api/v1/search/words?keyword=コンピューター,['computer']
今夜,こんや,https://jisho.org/api/v1/search/words?keyword=今夜,['tonight']
最近,さいきん,https://jisho.org/api/v1/search/words?keyword=最近,"['latest', 'nowadays']"
最後,さいご,https://jisho.org/api/v1/search/words?keyword=最後,"['last', 'end']"
最初,さいしょ,https://jisho.org/api/v1/search/words?keyword=最初,"['beginning', 'first']"
坂,さか,https://jisho.org/api/v1/search/words?keyword=坂,"['slope', 'hill']"
探す,さがす,https://jisho.org/api/v1/search/words?keyword=探す,['to look for']
下る,さがる,https://jisho.org/api/v1/search/words?keyword=下る,"['to get down', 'to descend']"
盛ん,さかん,https://jisho.org/api/v1/search/words?keyword=盛ん,"['popularity', 'prosperous']"
下げる,さげる,https://jisho.org/api/v1/search/words?keyword=下げる,"['to hang', 'to lower', 'to move back']"
差し上げる,さしあげる,https://jisho.org/api/v1/search/words?keyword=差し上げる,['to give']
さっき,さっき,https://jisho.org/api/v1/search/words?keyword=さっき,['some time ago']
寂しい,さびしい,https://jisho.org/api/v1/search/words?keyword=寂しい,['lonely']
さ来月,さらいげつ,https://jisho.org/api/v1/search/words?keyword=さ来月,['the month after next']
さ来週,さらいしゅう,https://jisho.org/api/v1/search/words?keyword=さ来週,['the week after next']
サラダ,サラダ,https://jisho.org/api/v1/search/words?keyword=サラダ,['salad']
騒ぐ,さわぐ,https://jisho.org/api/v1/search/words?keyword=騒ぐ,"['to make noise', 'to be excited']"
触る,さわる,https://jisho.org/api/v1/search/words?keyword=触る,['to touch']
産業,さんぎょう,https://jisho.org/api/v1/search/words?keyword=産業,['industry']
サンダル,サンダル,https://jisho.org/api/v1/search/words?keyword=サンダル,['sandal']
サンドイッチ,サンドイッチ,https://jisho.org/api/v1/search/words?keyword=サンドイッチ,['sandwich']
残念,ざんねん,https://jisho.org/api/v1/search/words?keyword=残念,['disappointment']
市,し,https://jisho.org/api/v1/search/words?keyword=市,['city']
字,じ,https://jisho.org/api/v1/search/words?keyword=字,['character']
試合,しあい,https://jisho.org/api/v1/search/words?keyword=試合,"['match', 'game']"
仕方,しかた,https://jisho.org/api/v1/search/words?keyword=仕方,['method']
しかる,しかる,https://jisho.org/api/v1/search/words?keyword=しかる,['a particular']
試験,しけん,https://jisho.org/api/v1/search/words?keyword=試験,['examination']
事故,じこ,https://jisho.org/api/v1/search/words?keyword=事故,['accident']
地震,じしん,https://jisho.org/api/v1/search/words?keyword=地震,['earthquake']
時代,じだい,https://jisho.org/api/v1/search/words?keyword=時代,['era']
下着,したぎ,https://jisho.org/api/v1/search/words?keyword=下着,['underwear']
支度,したく,https://jisho.org/api/v1/search/words?keyword=支度,['to prepare']
しっかり,しっかり,https://jisho.org/api/v1/search/words?keyword=しっかり,"['firmly', 'steadily']"
失敗,しっぱい,https://jisho.org/api/v1/search/words?keyword=失敗,"['failure', 'mistake']"
辞典,じてん,https://jisho.org/api/v1/search/words?keyword=辞典,['dictionary']
品物,しなもの,https://jisho.org/api/v1/search/words?keyword=品物,['goods']
しばらく,しばらく,https://jisho.org/api/v1/search/words?keyword=しばらく,['little while']
島,しま,https://jisho.org/api/v1/search/words?keyword=島,['island']
市民,しみん,https://jisho.org/api/v1/search/words?keyword=市民,['citizen']
事務所,じむしょ,https://jisho.org/api/v1/search/words?keyword=事務所,['office']
社会,しゃかい,https://jisho.org/api/v1/search/words?keyword=社会,"['society', 'public']"
社長,しゃちょう,https://jisho.org/api/v1/search/words?keyword=社長,['company president']
じゃま,じゃま,https://jisho.org/api/v1/search/words?keyword=じゃま,"['hindrance', 'intrusion']"
ジャム,ジャム,https://jisho.org/api/v1/search/words?keyword=ジャム,['jam']
自由,じゆう,https://jisho.org/api/v1/search/words?keyword=自由,['freedom']
習慣,しゅうかん,https://jisho.org/api/v1/search/words?keyword=習慣,"['custom', 'manners']"
住所,じゅうしょ,https://jisho.org/api/v1/search/words?keyword=住所,"['an address', 'a residence']"
柔道,じゅうどう,https://jisho.org/api/v1/search/words?keyword=柔道,['judo']
十分,じゅうぶん,https://jisho.org/api/v1/search/words?keyword=十分,['enough']
出席,しゅっせき,https://jisho.org/api/v1/search/words?keyword=出席,['to attend']
出発,しゅっぱつ,https://jisho.org/api/v1/search/words?keyword=出発,['to depart']
趣味,しゅみ,https://jisho.org/api/v1/search/words?keyword=趣味,['hobby']
準備,じゅんび,https://jisho.org/api/v1/search/words?keyword=準備,['to prepare']
紹介,しょうかい,https://jisho.org/api/v1/search/words?keyword=紹介,['introduction']
小学校,しょうがっこう,https://jisho.org/api/v1/search/words?keyword=小学校,['elementary school']
小説,しょうせつ,https://jisho.org/api/v1/search/words?keyword=小説,['novel']
招待,しょうたい,https://jisho.org/api/v1/search/words?keyword=招待,['to invite']
承知,しょうち,https://jisho.org/api/v1/search/words?keyword=承知,['to consent']
将来,しょうらい,https://jisho.org/api/v1/search/words?keyword=将来,"['future', 'prospects']"
食事,しょくじ,https://jisho.org/api/v1/search/words?keyword=食事,['to have a meal']
食料品,しょくりょうひん,https://jisho.org/api/v1/search/words?keyword=食料品,['groceries']
女性,じょせい,https://jisho.org/api/v1/search/words?keyword=女性,['woman']
知らせる,しらせる,https://jisho.org/api/v1/search/words?keyword=知らせる,['to notify']
調べる,しらべる,https://jisho.org/api/v1/search/words?keyword=調べる,['to investigate']
人口,じんこう,https://jisho.org/api/v1/search/words?keyword=人口,['population']
神社,じんじゃ,https://jisho.org/api/v1/search/words?keyword=神社,['Shinto shrine']
親切,しんせつ,https://jisho.org/api/v1/search/words?keyword=親切,['kindness']
心配,しんぱい,https://jisho.org/api/v1/search/words?keyword=心配,['to worry']
新聞社,しんぶんしゃ,https://jisho.org/api/v1/search/words?keyword=新聞社,['newspaper company']
水泳,すいえい,https://jisho.org/api/v1/search/words?keyword=水泳,['swimming']
水道,すいどう,https://jisho.org/api/v1/search/words?keyword=水道,['water supply']
ずいぶん,ずいぶん,https://jisho.org/api/v1/search/words?keyword=ずいぶん,['extremely']
数学,すうがく,https://jisho.org/api/v1/search/words?keyword=数学,"['mathematics', 'arithmetic']"
スーツ,スーツ,https://jisho.org/api/v1/search/words?keyword=スーツ,['suit']
スーツケース,スーツケース,https://jisho.org/api/v1/search/words?keyword=スーツケース,['suitcase']
過ぎる,すぎる,https://jisho.org/api/v1/search/words?keyword=過ぎる,['to exceed']
すく,すく,https://jisho.org/api/v1/search/words?keyword=すく,['to become empty']
スクリーン,スクリーン,https://jisho.org/api/v1/search/words?keyword=スクリーン,['screen']
凄い,すごい,https://jisho.org/api/v1/search/words?keyword=凄い,['terrific']
進む,すすむ,https://jisho.org/api/v1/search/words?keyword=進む,['to make progress']
すっかり,すっかり,https://jisho.org/api/v1/search/words?keyword=すっかり,['completely']
すっと,すっと,https://jisho.org/api/v1/search/words?keyword=すっと,"['straight', 'all of a sudden']"
ステーキ,ステーキ,https://jisho.org/api/v1/search/words?keyword=ステーキ,['steak']
捨てる,すてる,https://jisho.org/api/v1/search/words?keyword=捨てる,['to throw away']
ステレオ,ステレオ,https://jisho.org/api/v1/search/words?keyword=ステレオ,['stereo']
砂,すな,https://jisho.org/api/v1/search/words?keyword=砂,['sand']
すばらしい,すばらしい,https://jisho.org/api/v1/search/words?keyword=すばらしい,['wonderful']
滑る,すべる,https://jisho.org/api/v1/search/words?keyword=滑る,"['to slide', 'to slip']"
隅,すみ,https://jisho.org/api/v1/search/words?keyword=隅,"['corner', 'nook']"
済む,すむ,https://jisho.org/api/v1/search/words?keyword=済む,['to finish']
すり,すり,https://jisho.org/api/v1/search/words?keyword=すり,['pickpocket']
すると,すると,https://jisho.org/api/v1/search/words?keyword=すると,['then']
生活,せいかつ,https://jisho.org/api/v1/search/words?keyword=生活,['to live']
生産,せいさん,https://jisho.org/api/v1/search/words?keyword=生産,['to produce']
政治,せいじ,https://jisho.org/api/v1/search/words?keyword=政治,"['politics', 'government']"
西洋,せいよう,https://jisho.org/api/v1/search/words?keyword=西洋,['western countries']
世界,せかい,https://jisho.org/api/v1/search/words?keyword=世界,['the world']
席,せき,https://jisho.org/api/v1/search/words?keyword=席,['seat']
説明,せつめい,https://jisho.org/api/v1/search/words?keyword=説明,['explanation']
背中,せなか,https://jisho.org/api/v1/search/words?keyword=背中,['back of the body']
